Year;Week;Week Ending;typecode;Commodity;CSX
2022;6;12.02.2022;10;Lumber & Wood Products;1233
2022;6;12.02.2022;11;Pulp & Paper Products;3149
2022;6;12.02.2022;12;Chemicals;10848
2022;6;12.02.2022;13;Petroleum & Petroleum Products;2476
2022;6;12.02.2022;14;Stone, Clay & Glass Products;2274
2022;6;12.02.2022;15;Coke;1256
2022;6;12.02.2022;16;Primary Metal Products;2873
2022;6;12.02.2022;17;Automotive;6471
2022;6;12.02.2022;18;Iron & Steel Scrap;1407
2022;6;12.02.2022;19;Waste & Nonferrous Scrap;2621
2022;6;12.02.2022;20;All Other Carloads;929
2022;6;12.02.2022;C;Containers;56329
2022;6;12.02.2022;T;Trailers;1942
2022;5;5.02.2022;01;Grain;2330
2022;5;5.02.2022;02;Farm Products (ex. Grain);177
2022;5;5.02.2022;03;Metallic ores;460
2022;5;5.02.2022;04;Coal;9921
2022;5;5.02.2022;05;Crushed Stone, Sand & Gravel;3490
2022;5;5.02.2022;06;Phosphate Rock;2728
2022;5;5.02.2022;07;Grain Mill Products;2114
2022;5;5.02.2022;08;Food Products;2268
2022;5;5.02.2022;09;Primary Forest Products;535
2022;5;5.02.2022;10;Lumber & Wood Products;1216
2022;5;5.02.2022;11;Pulp & Paper Products;2816
2022;5;5.02.2022;12;Chemicals;10191
2022;5;5.02.2022;13;Petroleum & Petroleum Products;2400
2022;5;5.02.2022;14;Stone, Clay & Glass Products;2004
2022;5;5.02.2022;15;Coke;923
2022;5;5.02.2022;16;Primary Metal Products;2834
2022;5;5.02.2022;17;Automotive;5005
2022;5;5.02.2022;18;Iron & Steel Scrap;1292
2022;5;5.02.2022;19;Waste & Nonferrous Scrap;2197
2022;5;5.02.2022;20;All Other Carloads;1462
2022;5;5.02.2022;C;Containers;49292
2022;5;5.02.2022;T;Trailers;2064
2022;4;29.01.2022;01;Grain;3024
2022;4;29.01.2022;02;Farm Products (ex. Grain);158
2022;4;29.01.2022;03;Metallic ores;540
2022;4;29.01.2022;04;Coal;10711
2022;4;29.01.2022;05;Crushed Stone, Sand & Gravel;3561
2022;4;29.01.2022;06;Phosphate Rock;3000
2022;4;29.01.2022;07;Grain Mill Products;2215
2022;4;29.01.2022;08;Food Products;2289
2022;4;29.01.2022;09;Primary Forest Products;648
2022;4;29.01.2022;10;Lumber & Wood Products;1099
2022;4;29.01.2022;11;Pulp & Paper Products;2756
2022;4;29.01.2022;12;Chemicals;10696
